dataset_kind,quarter,date,persistent_tree_id,scenario,simulated_manual_dbh_cm,simulated_ai_dbh_cm,seed
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-014,slow,97.39,97.7,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-015,stalled,63.38,63.82,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-016,negative_review,58.27,58.19,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-001,steady,66.49,66.63,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-002,slow,63.45,63.16,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-003,stalled,13.57,14.15,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-004,negative_review,49.9,49.92,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-005,steady,14.99,14.71,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-006,slow,33.13,32.86,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-007,stalled,14.64,14.73,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-008,negative_review,19.53,19.65,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-009,steady,14.79,14.44,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-010,slow,32.66,32.89,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-011,stalled,96.1,95.61,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-012,negative_review,137.78,138.05,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-013,steady,103.35,103.63,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-014,slow,97.39,97.34,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-015,stalled,63.64,63.87,42
simulated,2023Q2,2023-06-30,SIM-PERSISTENT-016,negative_review,58.43,59.21,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-001,steady,66.71,66.95,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-002,slow,63.34,63.4,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-003,stalled,13.74,14.12,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-004,negative_review,50.1,50.15,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-005,steady,15.17,15.48,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-006,slow,33.2,33.46,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-007,stalled,14.85,15.36,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-008,negative_review,19.55,19.89,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-009,steady,14.96,15.22,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-010,slow,32.7,33.5,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-011,stalled,96.17,96.18,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-012,negative_review,137.93,138.52,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-013,steady,103.38,103.67,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-014,slow,97.47,97.37,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-015,stalled,63.84,64.12,42
simulated,2023Q3,2023-09-30,SIM-PERSISTENT-016,negative_review,58.65,58.56,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-001,steady,66.98,67.26,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-002,slow,63.39,63.71,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-003,stalled,13.87,13.52,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-004,negative_review,50.2,50.28,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-005,steady,15.42,15.74,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-006,slow,33.26,33.17,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-007,stalled,15.16,15.59,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-008,negative_review,19.62,19.89,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-009,steady,15.08,15.93,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-010,slow,32.64,33.06,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-011,stalled,96.28,96.38,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-012,negative_review,138.19,138.23,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-013,steady,103.56,103.45,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-014,slow,97.46,97.41,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-015,stalled,64.1,64.27,42
simulated,2023Q4,2023-12-31,SIM-PERSISTENT-016,negative_review,58.82,59.02,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-001,steady,67.08,67.92,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-002,slow,63.44,64.13,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-003,stalled,13.98,14.23,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-004,negative_review,50.44,50.15,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-005,steady,15.63,15.63,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-006,slow,33.31,33.63,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-007,stalled,15.46,15.44,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-008,negative_review,19.69,19.74,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-009,steady,15.3,15.52,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-010,slow,32.66,32.85,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-011,stalled,96.47,97.22,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-012,negative_review,138.33,138.52,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-013,steady,103.52,103.41,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-014,slow,97.48,97.76,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-015,stalled,64.37,64.31,42
simulated,2024Q1,2024-03-31,SIM-PERSISTENT-016,negative_review,58.99,58.9,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-001,steady,67.33,67.7,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-002,slow,63.38,63.49,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-003,stalled,14.18,14.77,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-004,negative_review,50.45,50.88,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-005,steady,15.91,15.8,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-006,slow,33.32,33.96,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-007,stalled,15.71,15.95,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-008,negative_review,19.99,19.97,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-009,steady,15.45,15.64,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-010,slow,32.75,33.62,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-011,stalled,96.61,96.22,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-012,negative_review,138.48,138.75,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-013,steady,103.69,103.35,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-014,slow,97.42,97.02,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-015,stalled,64.56,64.65,42
simulated,2024Q2,2024-06-30,SIM-PERSISTENT-016,negative_review,59.24,59.1,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-001,steady,67.54,67.06,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-002,slow,63.51,63.74,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-003,stalled,14.34,14.68,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-004,negative_review,50.57,51.13,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-005,steady,16.15,16.06,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-006,slow,33.38,33.34,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-007,stalled,15.85,16.11,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-008,negative_review,19.98,19.97,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-009,steady,15.57,15.84,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-010,slow,32.85,32.92,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-011,stalled,96.66,96.61,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-012,negative_review,138.68,138.4,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-013,steady,103.75,103.89,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-014,slow,97.62,97.97,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-015,stalled,64.82,64.67,42
simulated,2024Q3,2024-09-30,SIM-PERSISTENT-016,negative_review,59.45,59.18,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-001,steady,67.82,68.06,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-002,slow,63.49,64.28,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-003,stalled,14.33,13.81,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-004,negative_review,50.73,50.7,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-005,steady,16.39,16.66,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-006,slow,33.47,32.93,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-007,stalled,15.89,16.31,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-008,negative_review,20.12,20.8,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-009,steady,15.84,15.23,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-010,slow,32.84,32.32,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-011,stalled,96.75,96.88,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-012,negative_review,138.82,139.63,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-013,steady,103.87,103.36,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-014,slow,97.59,97.46,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-015,stalled,64.78,64.75,42
simulated,2024Q4,2024-12-31,SIM-PERSISTENT-016,negative_review,59.68,59.29,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-001,steady,68.04,68.72,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-002,slow,63.51,63.73,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-003,stalled,14.31,14.2,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-004,negative_review,50.87,50.99,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-005,steady,16.59,17.31,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-006,slow,33.55,33.58,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-007,stalled,15.91,15.81,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-008,negative_review,20.22,20.25,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-009,steady,15.96,16.0,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-010,slow,32.86,32.91,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-011,stalled,96.71,96.74,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-012,negative_review,139.09,139.39,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-013,steady,103.93,103.78,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-014,slow,97.57,97.49,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-015,stalled,64.74,65.17,42
simulated,2025Q1,2025-03-31,SIM-PERSISTENT-016,negative_review,59.82,60.44,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-001,steady,68.33,68.37,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-002,slow,63.5,63.56,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-003,stalled,14.3,13.95,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-004,negative_review,50.96,51.18,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-005,steady,16.84,16.73,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-006,slow,33.54,34.26,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-007,stalled,15.93,15.79,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-008,negative_review,20.27,20.71,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-009,steady,16.09,16.39,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-010,slow,32.88,33.21,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-011,stalled,96.74,96.63,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-012,negative_review,139.29,139.11,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-013,steady,104.01,104.53,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-014,slow,97.67,97.76,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-015,stalled,64.73,65.08,42
simulated,2025Q2,2025-06-30,SIM-PERSISTENT-016,negative_review,59.99,59.84,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-001,steady,68.43,68.65,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-002,slow,63.51,63.83,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-003,stalled,14.31,14.24,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-004,negative_review,51.15,51.42,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-005,steady,17.07,17.0,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-006,slow,33.65,33.26,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-007,stalled,15.93,15.86,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-008,negative_review,20.39,20.57,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-009,steady,16.29,16.77,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-010,slow,32.89,32.9,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-011,stalled,96.63,97.03,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-012,negative_review,139.46,140.02,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-013,steady,104.09,104.25,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-014,slow,97.67,97.76,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-015,stalled,64.78,64.35,42
simulated,2025Q3,2025-09-30,SIM-PERSISTENT-016,negative_review,60.24,60.54,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-001,steady,68.71,69.51,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-002,slow,63.6,63.72,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-003,stalled,14.3,15.04,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-004,negative_review,49.67,50.01,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-005,steady,17.27,16.62,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-006,slow,33.6,33.36,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-007,stalled,15.98,15.78,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-008,negative_review,18.98,18.74,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-009,steady,16.48,16.22,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-010,slow,32.95,32.7,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-011,stalled,96.65,96.84,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-012,negative_review,138.12,138.7,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-013,steady,104.22,103.95,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-014,slow,97.68,97.64,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-015,stalled,64.81,65.02,42
simulated,2025Q4,2025-12-31,SIM-PERSISTENT-016,negative_review,58.9,59.31,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-001,steady,68.86,68.96,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-002,slow,63.64,64.25,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-003,stalled,14.3,14.31,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-004,negative_review,49.83,50.21,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-005,steady,17.54,17.8,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-006,slow,33.66,34.19,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-007,stalled,15.89,15.81,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-008,negative_review,19.14,18.79,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-009,steady,16.62,16.77,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-010,slow,32.89,33.47,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-011,stalled,96.74,96.17,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-012,negative_review,138.25,138.69,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-013,steady,104.26,104.3,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-014,slow,97.74,98.08,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-015,stalled,64.77,64.93,42
simulated,2026Q1,2026-03-31,SIM-PERSISTENT-016,negative_review,59.07,59.64,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-001,steady,69.08,69.33,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-002,slow,63.64,63.81,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-003,stalled,14.3,14.37,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-004,negative_review,49.96,50.37,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-005,steady,17.86,18.0,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-006,slow,33.82,34.18,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-007,stalled,15.98,16.16,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-008,negative_review,19.21,19.6,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-009,steady,16.8,16.61,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-010,slow,32.95,32.46,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-011,stalled,96.68,96.93,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-012,negative_review,138.55,138.67,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-013,steady,104.44,104.52,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-014,slow,97.73,97.44,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-015,stalled,64.74,64.46,42
simulated,2026Q2,2026-06-30,SIM-PERSISTENT-016,negative_review,59.33,59.35,42
