"dataset_kind","site_id","park_name","scan_id","local_tree_id","persistent_tree_id","quarter","date","scenario","simulated_manual_dbh_cm","simulated_ai_dbh_cm","simulated_height_m","simulated_latitude","simulated_longitude","simulated_measurement_height_m","identity_kind","position_kind","reference_scan_id","reference_tree_id","seed"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q1","Tree_001","SIM-park-4094350e24-Tree_001","2025Q1","2025-03-31","steady","66.35","66.4","15.97","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q2","Tree_001","SIM-park-4094350e24-Tree_001","2025Q2","2025-06-30","steady","66.63","66.62","15.99","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q3","Tree_001","SIM-park-4094350e24-Tree_001","2025Q3","2025-09-30","steady","66.71","67.01","16","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q4","Tree_001","SIM-park-4094350e24-Tree_001","2025Q4","2025-12-31","steady","66.94","67.38","16.02","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q1","Tree_001","SIM-park-4094350e24-Tree_001","2026Q1","2026-03-31","steady","66.97","66.77","16.03","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q2","Tree_001","SIM-park-4094350e24-Tree_001","2026Q2","2026-06-30","steady","67.14","67.42","16.05","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q3","Tree_002","SIM-park-4094350e24-Tree_002","2022Q3","2022-09-30","slow","63.33","62.98","15.62","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q4","Tree_002","SIM-park-4094350e24-Tree_002","2022Q4","2022-12-31","slow","63.34","63.39","15.63","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q1","Tree_002","SIM-park-4094350e24-Tree_002","2023Q1","2023-03-31","slow","63.46","63.64","15.63","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q2","Tree_002","SIM-park-4094350e24-Tree_002","2023Q2","2023-06-30","slow","63.43","63.39","15.64","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q3","Tree_002","SIM-park-4094350e24-Tree_002","2023Q3","2023-09-30","slow","63.48","64.04","15.64","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q4","Tree_002","SIM-park-4094350e24-Tree_002","2023Q4","2023-12-31","slow","63.52","63.76","15.65","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q1","Tree_002","SIM-park-4094350e24-Tree_002","2024Q1","2024-03-31","slow","63.65","63.44","15.65","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q2","Tree_002","SIM-park-4094350e24-Tree_002","2024Q2","2024-06-30","slow","63.54","64.06","15.66","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q3","Tree_002","SIM-park-4094350e24-Tree_002","2024Q3","2024-09-30","slow","63.65","63.47","15.66","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q4","Tree_002","SIM-park-4094350e24-Tree_002","2024Q4","2024-12-31","slow","63.72","63.42","15.66","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q1","Tree_002","SIM-park-4094350e24-Tree_002","2025Q1","2025-03-31","slow","63.66","63.45","15.67","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q2","Tree_002","SIM-park-4094350e24-Tree_002","2025Q2","2025-06-30","slow","63.78","63.61","15.67","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q3","Tree_002","SIM-park-4094350e24-Tree_002","2025Q3","2025-09-30","slow","63.73","64.06","15.68","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q4","Tree_002","SIM-park-4094350e24-Tree_002","2025Q4","2025-12-31","slow","63.86","64.01","15.68","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q1","Tree_002","SIM-park-4094350e24-Tree_002","2026Q1","2026-03-31","slow","63.82","63.97","15.69","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q2","Tree_002","SIM-park-4094350e24-Tree_002","2026Q2","2026-06-30","slow","63.95","64.34","15.69","24.1429266","120.6845161","1.3","simulated","simulated","20260818092855","Tree_002","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q3","Tree_003","SIM-park-4094350e24-Tree_003","2022Q3","2022-09-30","stalled","13.54","14.09","7.92","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q4","Tree_003","SIM-park-4094350e24-Tree_003","2022Q4","2022-12-31","stalled","13.65","14.14","7.95","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q1","Tree_003","SIM-park-4094350e24-Tree_003","2023Q1","2023-03-31","stalled","13.73","13.92","7.98","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q2","Tree_003","SIM-park-4094350e24-Tree_003","2023Q2","2023-06-30","stalled","13.91","14.16","8.01","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q3","Tree_003","SIM-park-4094350e24-Tree_003","2023Q3","2023-09-30","stalled","14.07","14.27","8.04","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q4","Tree_003","SIM-park-4094350e24-Tree_003","2023Q4","2023-12-31","stalled","14.13","13.66","8.07","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q1","Tree_003","SIM-park-4094350e24-Tree_003","2024Q1","2024-03-31","stalled","14.29","14.41","8.1","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q2","Tree_003","SIM-park-4094350e24-Tree_003","2024Q2","2024-06-30","stalled","14.35","14.31","8.13","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q3","Tree_003","SIM-park-4094350e24-Tree_003","2024Q3","2024-09-30","stalled","14.51","14.62","8.16","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q4","Tree_003","SIM-park-4094350e24-Tree_003","2024Q4","2024-12-31","stalled","14.56","14.56","8.16","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q1","Tree_003","SIM-park-4094350e24-Tree_003","2025Q1","2025-03-31","stalled","14.44","14.37","8.16","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q2","Tree_003","SIM-park-4094350e24-Tree_003","2025Q2","2025-06-30","stalled","14.44","14.33","8.16","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q3","Tree_003","SIM-park-4094350e24-Tree_003","2025Q3","2025-09-30","stalled","14.48","14.23","8.16","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q4","Tree_003","SIM-park-4094350e24-Tree_003","2025Q4","2025-12-31","stalled","14.53","14.4","8.16","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q1","Tree_003","SIM-park-4094350e24-Tree_003","2026Q1","2026-03-31","stalled","14.52","14.46","8.16","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q2","Tree_003","SIM-park-4094350e24-Tree_003","2026Q2","2026-06-30","stalled","14.5","14.39","8.16","24.1429316","120.6845688","1.3","simulated","simulated","20260818092855","Tree_003","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q3","Tree_004","SIM-park-4094350e24-Tree_004","2022Q3","2022-09-30","negative_review","55.84","56.02","14.75","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q4","Tree_004","SIM-park-4094350e24-Tree_004","2022Q4","2022-12-31","negative_review","56.01","55.54","14.77","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q1","Tree_004","SIM-park-4094350e24-Tree_004","2023Q1","2023-03-31","negative_review","56.2","56.02","14.79","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q2","Tree_004","SIM-park-4094350e24-Tree_004","2023Q2","2023-06-30","negative_review","56.3","56.82","14.8","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q3","Tree_004","SIM-park-4094350e24-Tree_004","2023Q3","2023-09-30","negative_review","56.45","56.18","14.82","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q4","Tree_004","SIM-park-4094350e24-Tree_004","2023Q4","2023-12-31","negative_review","56.58","56.57","14.84","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q1","Tree_004","SIM-park-4094350e24-Tree_004","2024Q1","2024-03-31","negative_review","56.76","56.88","14.86","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q2","Tree_004","SIM-park-4094350e24-Tree_004","2024Q2","2024-06-30","negative_review","56.86","56.95","14.87","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q3","Tree_004","SIM-park-4094350e24-Tree_004","2024Q3","2024-09-30","negative_review","56.95","57.81","14.89","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q4","Tree_004","SIM-park-4094350e24-Tree_004","2024Q4","2024-12-31","negative_review","57.08","57.2","14.91","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q1","Tree_004","SIM-park-4094350e24-Tree_004","2025Q1","2025-03-31","negative_review","57.29","57.44","14.92","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q2","Tree_004","SIM-park-4094350e24-Tree_004","2025Q2","2025-06-30","negative_review","57.44","57.7","14.94","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q3","Tree_004","SIM-park-4094350e24-Tree_004","2025Q3","2025-09-30","negative_review","57.53","57.66","14.96","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q4","Tree_004","SIM-park-4094350e24-Tree_004","2025Q4","2025-12-31","negative_review","56.09","56.49","14.79","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q1","Tree_004","SIM-park-4094350e24-Tree_004","2026Q1","2026-03-31","negative_review","56.34","56.94","14.81","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q2","Tree_004","SIM-park-4094350e24-Tree_004","2026Q2","2026-06-30","negative_review","56.42","57.06","14.83","24.1429367","120.6846216","1.3","simulated","simulated","20260818092855","Tree_004","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q3","Tree_005","SIM-park-4094350e24-Tree_005","2022Q3","2022-09-30","steady","14.83","14.84","8.23","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q4","Tree_005","SIM-park-4094350e24-Tree_005","2022Q4","2022-12-31","steady","15.1","15.16","8.29","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q1","Tree_005","SIM-park-4094350e24-Tree_005","2023Q1","2023-03-31","steady","15.27","15.75","8.34","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q2","Tree_005","SIM-park-4094350e24-Tree_005","2023Q2","2023-06-30","steady","15.49","15.73","8.39","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q3","Tree_005","SIM-park-4094350e24-Tree_005","2023Q3","2023-09-30","steady","15.66","15.94","8.44","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q4","Tree_005","SIM-park-4094350e24-Tree_005","2023Q4","2023-12-31","steady","15.9","15.91","8.49","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q1","Tree_005","SIM-park-4094350e24-Tree_005","2024Q1","2024-03-31","steady","16.21","16.09","8.54","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q2","Tree_005","SIM-park-4094350e24-Tree_005","2024Q2","2024-06-30","steady","16.39","17.11","8.59","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q3","Tree_005","SIM-park-4094350e24-Tree_005","2024Q3","2024-09-30","steady","16.63","16.95","8.64","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q4","Tree_005","SIM-park-4094350e24-Tree_005","2024Q4","2024-12-31","steady","16.92","17.13","8.68","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q1","Tree_005","SIM-park-4094350e24-Tree_005","2025Q1","2025-03-31","steady","17.11","17.69","8.73","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q2","Tree_005","SIM-park-4094350e24-Tree_005","2025Q2","2025-06-30","steady","17.23","17.22","8.78","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q3","Tree_005","SIM-park-4094350e24-Tree_005","2025Q3","2025-09-30","steady","17.55","17.4","8.83","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q4","Tree_005","SIM-park-4094350e24-Tree_005","2025Q4","2025-12-31","steady","17.71","17.73","8.88","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q1","Tree_005","SIM-park-4094350e24-Tree_005","2026Q1","2026-03-31","steady","17.89","18.28","8.92","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q2","Tree_005","SIM-park-4094350e24-Tree_005","2026Q2","2026-06-30","steady","18.08","18.03","8.97","24.1429418","120.6846743","1.3","simulated","simulated","20260818092855","Tree_005","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q3","Tree_006","SIM-park-4094350e24-Tree_006","2022Q3","2022-09-30","slow","30.36","30.9","11.22","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q4","Tree_006","SIM-park-4094350e24-Tree_006","2022Q4","2022-12-31","slow","30.43","29.92","11.22","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q1","Tree_006","SIM-park-4094350e24-Tree_006","2023Q1","2023-03-31","slow","30.37","30.54","11.23","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q2","Tree_006","SIM-park-4094350e24-Tree_006","2023Q2","2023-06-30","slow","30.5","30.29","11.24","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q3","Tree_006","SIM-park-4094350e24-Tree_006","2023Q3","2023-09-30","slow","30.5","30.77","11.25","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q4","Tree_006","SIM-park-4094350e24-Tree_006","2023Q4","2023-12-31","slow","30.61","30.74","11.25","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q1","Tree_006","SIM-park-4094350e24-Tree_006","2024Q1","2024-03-31","slow","30.63","30.69","11.26","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q2","Tree_006","SIM-park-4094350e24-Tree_006","2024Q2","2024-06-30","slow","30.64","30.07","11.27","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q3","Tree_006","SIM-park-4094350e24-Tree_006","2024Q3","2024-09-30","slow","30.76","30.64","11.28","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q4","Tree_006","SIM-park-4094350e24-Tree_006","2024Q4","2024-12-31","slow","30.73","30.8","11.28","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q1","Tree_006","SIM-park-4094350e24-Tree_006","2025Q1","2025-03-31","slow","30.86","31.57","11.29","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q2","Tree_006","SIM-park-4094350e24-Tree_006","2025Q2","2025-06-30","slow","30.81","30.75","11.3","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q3","Tree_006","SIM-park-4094350e24-Tree_006","2025Q3","2025-09-30","slow","30.8","31.03","11.3","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q4","Tree_006","SIM-park-4094350e24-Tree_006","2025Q4","2025-12-31","slow","30.92","30.74","11.31","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q1","Tree_006","SIM-park-4094350e24-Tree_006","2026Q1","2026-03-31","slow","31","31.25","11.32","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2026Q2","Tree_006","SIM-park-4094350e24-Tree_006","2026Q2","2026-06-30","slow","31.03","31.11","11.33","24.14303","120.6847325","1.3","simulated","simulated","20260818092855","Tree_006","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q3","Tree_007","SIM-park-4094350e24-Tree_007","2022Q3","2022-09-30","stalled","14.48","14.75","8.14","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q4","Tree_007","SIM-park-4094350e24-Tree_007","2022Q4","2022-12-31","stalled","14.67","15.54","8.21","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q1","Tree_007","SIM-park-4094350e24-Tree_007","2023Q1","2023-03-31","stalled","15","15.11","8.28","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q2","Tree_007","SIM-park-4094350e24-Tree_007","2023Q2","2023-06-30","stalled","15.27","15.34","8.34","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q3","Tree_007","SIM-park-4094350e24-Tree_007","2023Q3","2023-09-30","stalled","15.57","15.58","8.41","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q4","Tree_007","SIM-park-4094350e24-Tree_007","2023Q4","2023-12-31","stalled","15.88","16.52","8.47","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q1","Tree_007","SIM-park-4094350e24-Tree_007","2024Q1","2024-03-31","stalled","16.13","16.16","8.54","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q2","Tree_007","SIM-park-4094350e24-Tree_007","2024Q2","2024-06-30","stalled","16.39","16.88","8.6","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q3","Tree_007","SIM-park-4094350e24-Tree_007","2024Q3","2024-09-30","stalled","16.66","16.99","8.66","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q4","Tree_007","SIM-park-4094350e24-Tree_007","2024Q4","2024-12-31","stalled","16.74","16.52","8.66","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2025Q1","Tree_007","SIM-park-4094350e24-Tree_007","2025Q1","2025-03-31","stalled","16.66","16.91","8.66","24.143139","120.684792","1.3","simulated","simulated","20260818092855","Tree_007","20260923"
