epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
11,549.058,1.7085,1.26584,1.72216,1.76478,0,0.52957,0.69524,0.60508,0.24166,0.6482,0.73333,0.7708,0.36409,1.79932,0.98129,1.57902,2.02689,0,0.001868,0.001868,0.001868
12,598.718,1.67221,1.26173,1.73738,1.76282,0,0.49867,0.65367,0.6135,0.2396,0.66957,0.74286,0.76441,0.33558,1.84806,1.07532,1.67718,2.07814,0,0.0018548,0.0018548,0.0018548
13,647.521,1.67733,1.23762,1.68545,1.73954,0,0.45958,0.68571,0.5748,0.23361,0.59185,0.8,0.74778,0.34424,1.74153,0.95164,1.63831,1.9778,0,0.0018416,0.0018416,0.0018416
14,696.227,1.65987,1.17391,1.64956,1.75171,0,0.66981,0.71484,0.67656,0.28116,0.80406,0.78163,0.87395,0.3915,1.67877,1.02915,1.56191,1.97149,0,0.0018284,0.0018284,0.0018284
15,746.011,1.61828,1.19206,1.63665,1.72089,0,0.48364,0.75238,0.50709,0.19744,0.60518,0.78831,0.64776,0.28265,1.73392,0.96896,1.76068,2.06784,0,0.0018152,0.0018152,0.0018152
16,795.68,1.61071,1.17433,1.65766,1.72234,0,0.52758,0.69524,0.61951,0.26644,0.67382,0.77143,0.78451,0.37865,1.64273,0.94726,1.53244,1.92602,0,0.001802,0.001802,0.001802
17,845.421,1.58635,1.19036,1.60361,1.69481,0,0.64907,0.73333,0.69103,0.28154,0.74876,0.81905,0.84936,0.40577,1.66346,0.92998,1.60024,1.97825,0,0.0017888,0.0017888,0.0017888
18,894.93,1.56807,1.14821,1.5857,1.67358,0,0.60029,0.62857,0.69242,0.30964,0.68778,0.73431,0.80095,0.39531,1.69886,0.96276,1.48221,1.97651,0,0.0017756,0.0017756,0.0017756
19,943.664,1.5526,1.16894,1.60031,1.68061,0,0.62985,0.74286,0.66635,0.28152,0.73047,0.85714,0.84291,0.38704,1.73191,0.93136,1.5411,2.00861,0,0.0017624,0.0017624,0.0017624
20,992.206,1.55186,1.15517,1.53311,1.68911,0,0.59835,0.66667,0.65552,0.27461,0.73445,0.76388,0.83871,0.37229,1.85059,0.99148,1.49454,2.0689,0,0.0017492,0.0017492,0.0017492
21,1041.56,1.54046,1.15717,1.5324,1.65735,0,0.61768,0.72319,0.68537,0.27023,0.66246,0.78507,0.77987,0.34875,1.70525,0.94837,1.57191,1.96293,0,0.001736,0.001736,0.001736
22,1090.82,1.51338,1.1534,1.51327,1.63057,0,0.53046,0.75238,0.62838,0.24956,0.67709,0.89866,0.81594,0.35074,1.79327,0.93262,1.54114,2.09645,0,0.0017228,0.0017228,0.0017228
23,1141.46,1.53872,1.10453,1.47171,1.65326,0,0.63498,0.72381,0.73097,0.29458,0.71532,0.8615,0.86473,0.39529,1.71337,0.93217,1.4394,1.95059,0,0.0017096,0.0017096,0.0017096
24,1191.62,1.49607,1.08979,1.4749,1.61843,0,0.55468,0.75923,0.66291,0.26915,0.67914,0.88696,0.80493,0.37456,1.61678,0.88824,1.5049,1.88488,0,0.0016964,0.0016964,0.0016964
25,1241.56,1.50875,1.14517,1.49995,1.64056,0,0.67051,0.77527,0.74078,0.31808,0.79908,0.91429,0.90693,0.42585,1.66916,0.93619,1.40944,1.9523,0,0.0016832,0.0016832,0.0016832
26,1291.99,1.51654,1.08689,1.4604,1.64558,0,0.57921,0.68169,0.65468,0.26121,0.66478,0.77143,0.81382,0.35822,1.64282,0.93769,1.60403,1.9308,0,0.00167,0.00167,0.00167
27,1342.77,1.49985,1.11461,1.5337,1.63068,0,0.56251,0.7619,0.67073,0.28781,0.66308,0.8381,0.82338,0.40036,1.65499,0.91496,1.50157,1.94847,0,0.0016568,0.0016568,0.0016568
28,1391.49,1.4977,1.12105,1.47642,1.63453,0,0.51065,0.73333,0.66016,0.26631,0.73867,0.8381,0.86525,0.38416,1.67463,0.95778,1.59806,1.95617,0,0.0016436,0.0016436,0.0016436
29,1440.71,1.45627,1.11093,1.43342,1.59615,0,0.70229,0.7619,0.7798,0.33755,0.83589,0.87319,0.91047,0.42782,1.65181,0.92975,1.41806,1.94298,0,0.0016304,0.0016304,0.0016304
30,1489.9,1.43673,1.09731,1.42395,1.58768,0,0.72053,0.76117,0.77072,0.33297,0.84088,0.85714,0.93282,0.46577,1.6278,0.88619,1.4073,1.9509,0,0.0016172,0.0016172,0.0016172
31,1538.67,1.45282,1.10587,1.41698,1.58709,0,0.68111,0.74286,0.75396,0.33667,0.82739,0.86738,0.91287,0.45015,1.66773,0.87597,1.42984,1.9081,0,0.001604,0.001604,0.001604
32,1587.28,1.41571,1.0581,1.4041,1.56333,0,0.625,0.74604,0.66249,0.28503,0.79031,0.86667,0.86568,0.40646,1.62411,0.88972,1.45434,1.92422,0,0.0015908,0.0015908,0.0015908
33,1636.15,1.42132,1.02039,1.41201,1.58861,0,0.64988,0.72478,0.735,0.34832,0.77703,0.86296,0.906,0.43383,1.64162,0.87879,1.43986,1.95678,0,0.0015776,0.0015776,0.0015776
34,1685.43,1.42433,1.05909,1.37058,1.57794,0,0.75019,0.79048,0.7723,0.32851,0.88,0.90793,0.95065,0.4477,1.70239,0.87798,1.38587,2.00865,0,0.0015644,0.0015644,0.0015644
35,1734.52,1.42016,1.06403,1.38019,1.58122,0,0.68037,0.77143,0.73703,0.32032,0.78571,0.89524,0.88108,0.43659,1.55739,0.88591,1.40852,1.88265,0,0.0015512,0.0015512,0.0015512
36,1782.97,1.39767,1.04361,1.35312,1.56372,0,0.61304,0.72424,0.72399,0.29679,0.7988,0.82857,0.9092,0.44789,1.65156,0.86579,1.4273,1.94435,0,0.001538,0.001538,0.001538
37,1832.05,1.38144,1.03361,1.35471,1.57377,0,0.6825,0.70476,0.71144,0.30962,0.80723,0.78095,0.88637,0.4324,1.74823,0.91762,1.38179,1.96986,0,0.0015248,0.0015248,0.0015248
38,1881.1,1.41544,1.00761,1.32945,1.56798,0,0.75952,0.72194,0.78275,0.33706,0.88149,0.87619,0.94654,0.4545,1.66593,0.8958,1.39504,1.93645,0,0.0015116,0.0015116,0.0015116
39,1930.57,1.39286,1.02855,1.34207,1.55314,0,0.70295,0.74375,0.73061,0.31232,0.84621,0.83846,0.92325,0.45481,1.62909,0.8792,1.44591,1.91395,0,0.0014984,0.0014984,0.0014984
40,1979.87,1.39923,1.05121,1.32346,1.53364,0,0.5961,0.74286,0.69033,0.30162,0.77619,0.78095,0.87973,0.42424,1.67168,0.8534,1.41065,1.96257,0,0.0014852,0.0014852,0.0014852
41,2028.8,1.37706,1.01843,1.3541,1.53124,0,0.60813,0.77143,0.6699,0.26694,0.70183,0.86667,0.76232,0.35969,1.6712,0.87026,1.48244,1.98496,0,0.001472,0.001472,0.001472
42,2077.75,1.36622,1.04013,1.34027,1.53508,0,0.65586,0.77143,0.73951,0.31373,0.77732,0.91429,0.90424,0.43266,1.65745,0.86621,1.45836,1.93698,0,0.0014588,0.0014588,0.0014588
43,2126.66,1.35829,1.00988,1.27754,1.51416,0,0.68793,0.77683,0.71598,0.30162,0.82991,0.91429,0.92488,0.42917,1.68168,0.85825,1.39529,1.93417,0,0.0014456,0.0014456,0.0014456
44,2175.34,1.35284,1.07679,1.33824,1.52899,0,0.7129,0.70947,0.76914,0.3383,0.80402,0.82051,0.90168,0.4388,1.66127,0.85908,1.39424,1.91105,0,0.0014324,0.0014324,0.0014324
45,2224.79,1.35751,1.01358,1.3183,1.55013,0,0.70811,0.75238,0.72747,0.32346,0.81559,0.84762,0.91852,0.45418,1.6347,0.87483,1.3994,1.8909,0,0.0014192,0.0014192,0.0014192
46,2276.17,1.32656,0.99663,1.30664,1.50917,0,0.72375,0.72361,0.77018,0.34713,0.8769,0.86667,0.94449,0.48971,1.62969,0.85389,1.37237,1.92045,0,0.001406,0.001406,0.001406
47,2325.38,1.35133,1.00614,1.26258,1.51542,0,0.74865,0.80952,0.81527,0.35565,0.83253,0.89524,0.93544,0.46566,1.6263,0.82799,1.343,1.87992,0,0.0013928,0.0013928,0.0013928
48,2374.23,1.36802,1.02315,1.29418,1.54798,0,0.71248,0.7619,0.74459,0.33201,0.8724,0.91159,0.94231,0.45493,1.64954,0.84443,1.38387,1.89712,0,0.0013796,0.0013796,0.0013796
49,2423.29,1.34175,1.04471,1.29687,1.52061,0,0.71153,0.81905,0.75563,0.34255,0.77772,0.89524,0.91053,0.42628,1.57594,0.85141,1.35162,1.84377,0,0.0013664,0.0013664,0.0013664
50,2471.79,1.33319,1.00085,1.24604,1.50857,0,0.65681,0.72381,0.74298,0.34065,0.85688,0.91429,0.94161,0.46496,1.7084,0.8622,1.34781,1.95805,0,0.0013532,0.0013532,0.0013532
51,2521.52,1.3382,0.99595,1.20656,1.51403,0,0.78622,0.77057,0.80531,0.36755,0.91254,0.89438,0.95189,0.46897,1.65642,0.82497,1.25526,1.88387,0,0.00134,0.00134,0.00134
52,2570.16,1.33775,1.00078,1.22035,1.50407,0,0.78428,0.76176,0.79088,0.36022,0.85182,0.86667,0.92906,0.43582,1.6765,0.8531,1.339,1.94922,0,0.0013268,0.0013268,0.0013268
53,2619.29,1.30145,0.9986,1.2203,1.4887,0,0.69694,0.81037,0.74617,0.33356,0.82877,0.86667,0.92089,0.46521,1.61037,0.82136,1.3474,1.88624,0,0.0013136,0.0013136,0.0013136
54,2668.33,1.284,0.97149,1.21516,1.48718,0,0.72635,0.78095,0.77367,0.35742,0.89753,0.90476,0.95445,0.47567,1.66513,0.83423,1.27795,1.93854,0,0.0013004,0.0013004,0.0013004
55,2717.64,1.27411,0.97648,1.20584,1.47917,0,0.75661,0.80952,0.7861,0.35406,0.90673,0.92591,0.95174,0.47184,1.65204,0.86942,1.29364,1.95646,0,0.0012872,0.0012872,0.0012872
56,2766.46,1.29894,0.96767,1.23318,1.51428,0,0.74192,0.794,0.75983,0.34532,0.88304,0.90476,0.93966,0.4403,1.60187,0.8498,1.3413,1.88078,0,0.001274,0.001274,0.001274
57,2815.34,1.2917,0.96347,1.18709,1.48515,0,0.80728,0.7619,0.78012,0.35824,0.89441,0.88742,0.96204,0.4689,1.65034,0.86062,1.28056,1.92977,0,0.0012608,0.0012608,0.0012608
58,2863.34,1.30515,0.99577,1.20983,1.49136,0,0.72989,0.78095,0.75209,0.34398,0.89888,0.93125,0.961,0.45806,1.7086,0.82558,1.26367,1.9746,0,0.0012476,0.0012476,0.0012476
59,2911.83,1.2728,0.94998,1.18744,1.46358,0,0.74022,0.8,0.79175,0.34568,0.88576,0.92381,0.97089,0.4777,1.68994,0.80988,1.28323,1.99112,0,0.0012344,0.0012344,0.0012344
60,2959.5,1.24989,0.9565,1.1752,1.4467,0,0.76142,0.75991,0.79542,0.35834,0.91163,0.95238,0.9692,0.48314,1.66234,0.84016,1.30727,1.97463,0,0.0012212,0.0012212,0.0012212
61,3007.56,1.2665,0.96665,1.16803,1.45922,0,0.7284,0.76629,0.77175,0.36455,0.86005,0.90476,0.94198,0.46523,1.61575,0.83056,1.2896,1.88601,0,0.001208,0.001208,0.001208
62,3054.38,1.25671,0.95352,1.13724,1.45162,0,0.72972,0.77141,0.78657,0.33681,0.81426,0.87679,0.93812,0.45211,1.6384,0.90248,1.3443,1.96005,0,0.0011948,0.0011948,0.0011948
63,3101.69,1.2552,0.94823,1.14199,1.46249,0,0.70576,0.77672,0.77316,0.34844,0.82318,0.85714,0.93069,0.43917,1.59386,0.91837,1.30932,1.95739,0,0.0011816,0.0011816,0.0011816
64,3150.09,1.25265,0.9718,1.11805,1.44217,0,0.71016,0.8,0.7506,0.34056,0.8584,0.92372,0.94015,0.4637,1.685,0.8315,1.24972,1.96865,0,0.0011684,0.0011684,0.0011684
65,3198.52,1.2513,0.94193,1.15287,1.44787,0,0.75125,0.79048,0.79514,0.34382,0.84583,0.88571,0.94347,0.46051,1.66789,0.86178,1.27164,1.95754,0,0.0011552,0.0011552,0.0011552
66,3246.68,1.24483,0.92993,1.0816,1.44434,0,0.7845,0.78095,0.81846,0.3481,0.95397,0.91429,0.97263,0.47797,1.71783,0.85995,1.24622,2.00061,0,0.001142,0.001142,0.001142
67,3293.96,1.22658,0.97439,1.13932,1.44801,0,0.66257,0.78546,0.73566,0.34671,0.88543,0.95685,0.96236,0.47885,1.54806,0.83812,1.32323,1.88248,0,0.0011288,0.0011288,0.0011288
68,3342.16,1.2493,0.93963,1.10476,1.43983,0,0.73157,0.7787,0.76962,0.36439,0.92143,0.89348,0.95081,0.47007,1.59553,0.85786,1.28316,1.9218,0,0.0011156,0.0011156,0.0011156
69,3389.65,1.18652,0.93804,1.11653,1.41718,0,0.66074,0.81905,0.75117,0.35865,0.93602,0.83603,0.95418,0.46866,1.66395,0.84411,1.23293,1.99129,0,0.0011024,0.0011024,0.0011024
70,3436.61,1.23327,0.94605,1.13979,1.44345,0,0.72651,0.78095,0.79768,0.3664,0.89268,0.86667,0.94592,0.47861,1.65793,0.82446,1.28746,1.93063,0,0.0010892,0.0010892,0.0010892
71,3483.9,1.20742,0.93649,1.07042,1.42127,0,0.68389,0.78298,0.75008,0.34709,0.80889,0.92718,0.93913,0.46671,1.6262,0.80503,1.24114,1.93956,0,0.001076,0.001076,0.001076
72,3531.88,1.20136,0.92386,1.07018,1.41996,0,0.75931,0.75238,0.76672,0.33842,0.95903,0.89184,0.96362,0.46915,1.64693,0.83463,1.24511,1.93049,0,0.0010628,0.0010628,0.0010628
73,3579.33,1.20216,0.96089,1.08068,1.41577,0,0.7917,0.79639,0.79801,0.37508,0.91471,0.91925,0.97366,0.48021,1.63981,0.82947,1.17673,1.95214,0,0.0010496,0.0010496,0.0010496
74,3627.2,1.18515,0.94324,1.05279,1.41397,0,0.74789,0.81935,0.73834,0.34455,0.90586,0.92381,0.95831,0.47258,1.62745,0.82236,1.23078,1.88696,0,0.0010364,0.0010364,0.0010364
75,3674.26,1.1826,0.90186,1.07077,1.4191,0,0.72962,0.79672,0.79271,0.37418,0.85532,0.91429,0.95101,0.47842,1.60108,0.79167,1.23871,1.91402,0,0.0010232,0.0010232,0.0010232
76,3722.3,1.16874,0.92465,1.04423,1.39917,0,0.7285,0.7922,0.78552,0.36434,0.84609,0.89005,0.94406,0.48374,1.60348,0.82195,1.2126,1.93107,0,0.00101,0.00101,0.00101
77,3770.14,1.17739,0.92093,1.03702,1.41267,0,0.81187,0.78088,0.78699,0.36982,0.9341,0.91429,0.97059,0.5027,1.64846,0.79345,1.12328,1.92835,0,0.0009968,0.0009968,0.0009968
78,3817.74,1.15552,0.8855,1.00255,1.38485,0,0.73724,0.75238,0.80133,0.35267,0.88656,0.90476,0.95519,0.48677,1.61503,0.82126,1.24421,1.92585,0,0.0009836,0.0009836,0.0009836
79,3864.64,1.1426,0.93047,1.02446,1.39372,0,0.77706,0.77143,0.80525,0.36476,0.85505,0.94286,0.95747,0.45694,1.60387,0.84233,1.18063,1.89435,0,0.0009704,0.0009704,0.0009704
80,3912.27,1.16507,0.90202,1.00856,1.39802,0,0.77314,0.79048,0.78964,0.37839,0.94244,0.9619,0.97177,0.49359,1.67448,0.81023,1.14581,1.97825,0,0.0009572,0.0009572,0.0009572
81,3959.89,1.17211,0.92491,1.01263,1.39651,0,0.78308,0.78095,0.82393,0.38286,0.90845,0.89524,0.96369,0.47757,1.59759,0.77989,1.1629,1.90348,0,0.000944,0.000944,0.000944
82,4007.66,1.1528,0.93507,0.99601,1.38173,0,0.71363,0.78095,0.76011,0.37535,0.90222,0.89524,0.97143,0.49228,1.58837,0.81584,1.15836,1.91853,0,0.0009308,0.0009308,0.0009308
83,4054.66,1.13441,0.91479,0.96929,1.36874,0,0.71596,0.81623,0.82212,0.35323,0.82493,0.89755,0.94425,0.4899,1.6788,0.8305,1.19801,1.95674,0,0.0009176,0.0009176,0.0009176
84,4102.92,1.13721,0.90372,0.99135,1.37949,0,0.76367,0.84762,0.80776,0.36846,0.91587,0.9619,0.97649,0.49549,1.67401,0.83493,1.16036,1.99569,0,0.0009044,0.0009044,0.0009044
85,4150.31,1.1347,0.88628,0.98726,1.38013,0,0.75386,0.82857,0.76805,0.35165,0.86753,0.95238,0.96012,0.47679,1.62481,0.81543,1.21714,1.96556,0,0.0008912,0.0008912,0.0008912
86,4197.95,1.09712,0.88991,0.95636,1.34664,0,0.82412,0.8,0.80563,0.36018,0.93996,0.91429,0.96125,0.47363,1.65867,0.83583,1.14274,2.00436,0,0.000878,0.000878,0.000878
87,4244.94,1.14157,0.90834,0.94136,1.38466,0,0.78001,0.81905,0.80321,0.37592,0.91206,0.93333,0.9739,0.48257,1.67505,0.80416,1.11063,2.00487,0,0.0008648,0.0008648,0.0008648
88,4292.94,1.11621,0.85655,0.92823,1.34156,0,0.76537,0.75238,0.78356,0.3485,0.93497,0.88571,0.95733,0.47634,1.69246,0.8222,1.20031,2.00214,0,0.0008516,0.0008516,0.0008516
89,4341.34,1.11669,0.90099,0.92967,1.36635,0,0.76556,0.78095,0.80358,0.36829,0.86007,0.87619,0.93262,0.46538,1.61567,0.83465,1.18243,1.92627,0,0.0008384,0.0008384,0.0008384
90,4388.83,1.08115,0.9057,0.90268,1.34308,0,0.75348,0.84419,0.79069,0.35914,0.8691,0.94852,0.96559,0.46002,1.69804,0.81914,1.17328,2.05823,0,0.0008252,0.0008252,0.0008252
91,4435.71,1.08889,0.87994,0.92295,1.34625,0,0.81698,0.72275,0.79103,0.38385,0.9028,0.88458,0.96149,0.47545,1.69693,0.82603,1.14433,2.03481,0,0.000812,0.000812,0.000812
92,4483.4,1.10223,0.90017,0.92457,1.35669,0,0.75993,0.81905,0.78175,0.38611,0.8583,0.92299,0.94543,0.47911,1.70541,0.79695,1.0614,2.07188,0,0.0007988,0.0007988,0.0007988
93,4531.76,1.10189,0.88592,0.93358,1.35206,0,0.74455,0.77726,0.76462,0.35697,0.8674,0.89524,0.94352,0.49076,1.63742,0.80531,1.18535,1.95765,0,0.0007856,0.0007856,0.0007856
94,4578.97,1.08118,0.85378,0.88506,1.32789,0,0.75698,0.77143,0.75514,0.3505,0.92434,0.93079,0.96291,0.4825,1.75561,0.80428,1.12625,2.06411,0,0.0007724,0.0007724,0.0007724
95,4626.25,1.08411,0.89059,0.92871,1.34482,0,0.82845,0.77143,0.81802,0.38189,0.93448,0.87619,0.96289,0.48911,1.74328,0.81293,1.05119,2.08624,0,0.0007592,0.0007592,0.0007592
96,4674.44,1.06578,0.84007,0.90156,1.32845,0,0.73308,0.8,0.75937,0.36567,0.86615,0.94286,0.95262,0.46673,1.6583,0.81616,1.09637,2.03268,0,0.000746,0.000746,0.000746
97,4722.26,1.03983,0.84987,0.87766,1.31354,0,0.66649,0.8,0.72411,0.35975,0.86929,0.89524,0.95869,0.48753,1.67929,0.77317,1.1813,1.98922,0,0.0007328,0.0007328,0.0007328
98,4770.25,1.0538,0.87944,0.86112,1.32207,0,0.75172,0.8074,0.7773,0.35722,0.97836,0.86124,0.97153,0.48711,1.66948,0.80397,1.19965,1.99393,0,0.0007196,0.0007196,0.0007196
99,4817.23,1.03574,0.86756,0.83691,1.29339,0,0.75096,0.74286,0.73002,0.35357,0.90155,0.94286,0.96637,0.46264,1.73224,0.82425,1.12798,2.08705,0,0.0007064,0.0007064,0.0007064
100,4865.32,1.03657,0.87101,0.83219,1.30032,0,0.80219,0.78095,0.76228,0.36026,0.93965,0.92381,0.97781,0.49419,1.77381,0.79572,1.11944,2.0851,0,0.0006932,0.0006932,0.0006932
101,4913.43,1.00208,0.87789,0.83509,1.28129,0,0.74751,0.78951,0.7573,0.3654,0.87746,0.91429,0.95094,0.47396,1.73962,0.82273,1.12482,2.08831,0,0.00068,0.00068,0.00068
102,4961.17,1.03072,0.8839,0.86643,1.30579,0,0.72779,0.79048,0.75154,0.36904,0.91622,0.93745,0.96795,0.46703,1.71662,0.81162,1.1038,2.07575,0,0.0006668,0.0006668,0.0006668
103,5008.56,0.99815,0.86207,0.81667,1.29013,0,0.75172,0.79048,0.75558,0.35896,0.87505,0.92381,0.95418,0.47743,1.82511,0.84003,1.09502,2.17489,0,0.0006536,0.0006536,0.0006536
104,5056.5,1.00861,0.83892,0.80201,1.27583,0,0.81273,0.79048,0.79465,0.37533,0.96135,0.94766,0.97745,0.4765,1.74183,0.84104,1.07158,2.105,0,0.0006404,0.0006404,0.0006404
105,5104.18,1.0099,0.8537,0.81643,1.30145,0,0.65052,0.81905,0.74366,0.35041,0.94468,0.91429,0.964,0.45004,1.78097,0.86812,1.165,2.152,0,0.0006272,0.0006272,0.0006272
106,5150.71,0.98323,0.84066,0.78916,1.2729,0,0.78264,0.82305,0.76676,0.35531,0.86745,0.94286,0.94716,0.47231,1.76852,0.82975,1.11278,2.13387,0,0.000614,0.000614,0.000614
107,5197.33,1.00106,0.85534,0.81552,1.29352,0,0.82578,0.7619,0.80311,0.35752,0.9578,0.88571,0.96832,0.4795,1.78631,0.8195,1.07286,2.16777,0,0.0006008,0.0006008,0.0006008
